epoch,step,test_accuracy_class_0,test_accuracy_class_1,test_accuracy_class_2,test_accuracy_class_3,test_accuracy_class_4,test_accuracy_class_5,test_precision_class_0,test_precision_class_1,test_precision_class_2,test_precision_class_3,test_precision_class_4,test_precision_class_5,test_recall_class_0,test_recall_class_1,test_recall_class_2,test_recall_class_3,test_recall_class_4,test_recall_class_5,val_loss
0,6,,,,,,,,,,,,,,,,,,,1.936171293258667
1,13,,,,,,,,,,,,,,,,,,,1.605725884437561
2,20,,,,,,,,,,,,,,,,,,,1.5541152954101562
3,27,,,,,,,,,,,,,,,,,,,1.49586021900177
4,34,,,,,,,,,,,,,,,,,,,1.4044431447982788
5,41,,,,,,,,,,,,,,,,,,,1.3703234195709229
6,48,,,,,,,,,,,,,,,,,,,1.273386001586914
7,55,,,,,,,,,,,,,,,,,,,1.2703012228012085
8,62,,,,,,,,,,,,,,,,,,,1.3323103189468384
9,69,,,,,,,,,,,,,,,,,,,1.2715860605239868
10,76,,,,,,,,,,,,,,,,,,,1.2720738649368286
11,77,0.8571428656578064,0.6000000238418579,1.0,1.0,0.75,0.3333333432674408,1.0,0.75,0.4285714328289032,1.0,0.5,1.0,0.8571428656578064,0.6000000238418579,1.0,1.0,0.75,0.3333333432674408,
