epoch,step,test_accuracy_class_0,test_accuracy_class_1,test_accuracy_class_2,test_accuracy_class_3,test_accuracy_class_4,test_accuracy_class_5,test_precision_class_0,test_precision_class_1,test_precision_class_2,test_precision_class_3,test_precision_class_4,test_precision_class_5,test_recall_class_0,test_recall_class_1,test_recall_class_2,test_recall_class_3,test_recall_class_4,test_recall_class_5,val_loss
0,1,,,,,,,,,,,,,,,,,,,1.847852110862732
1,3,,,,,,,,,,,,,,,,,,,1.7463796138763428
2,5,,,,,,,,,,,,,,,,,,,1.813899040222168
3,7,,,,,,,,,,,,,,,,,,,1.7839057445526123
4,9,,,,,,,,,,,,,,,,,,,1.7318564653396606
5,11,,,,,,,,,,,,,,,,,,,1.7009923458099365
6,13,,,,,,,,,,,,,,,,,,,1.678001880645752
7,15,,,,,,,,,,,,,,,,,,,1.6587404012680054
8,17,,,,,,,,,,,,,,,,,,,1.6428860425949097
9,19,,,,,,,,,,,,,,,,,,,1.601775884628296
10,21,,,,,,,,,,,,,,,,,,,1.5538415908813477
11,23,,,,,,,,,,,,,,,,,,,1.519166350364685
12,25,,,,,,,,,,,,,,,,,,,1.4914302825927734
13,27,,,,,,,,,,,,,,,,,,,1.457961082458496
14,29,,,,,,,,,,,,,,,,,,,1.4422143697738647
15,31,,,,,,,,,,,,,,,,,,,1.414183259010315
16,33,,,,,,,,,,,,,,,,,,,1.4272336959838867
17,35,,,,,,,,,,,,,,,,,,,1.4475407600402832
18,37,,,,,,,,,,,,,,,,,,,1.4683171510696411
19,38,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.5,0.75,0.0,0.0,1.0,1.0,1.0,1.0,0.0,
