epoch,step,test_accuracy_class_0,test_accuracy_class_1,test_accuracy_class_2,test_accuracy_class_3,test_accuracy_class_4,test_accuracy_class_5,test_precision_class_0,test_precision_class_1,test_precision_class_2,test_precision_class_3,test_precision_class_4,test_precision_class_5,test_recall_class_0,test_recall_class_1,test_recall_class_2,test_recall_class_3,test_recall_class_4,test_recall_class_5,val_loss
0,8,,,,,,,,,,,,,,,,,,,1.7321758270263672
1,17,,,,,,,,,,,,,,,,,,,1.6629533767700195
2,26,,,,,,,,,,,,,,,,,,,1.4928816556930542
3,35,,,,,,,,,,,,,,,,,,,1.4341095685958862
4,44,,,,,,,,,,,,,,,,,,,1.329099178314209
5,53,,,,,,,,,,,,,,,,,,,1.32062566280365
6,62,,,,,,,,,,,,,,,,,,,1.2651262283325195
7,71,,,,,,,,,,,,,,,,,,,1.2442009449005127
8,80,,,,,,,,,,,,,,,,,,,1.2192193269729614
9,89,,,,,,,,,,,,,,,,,,,1.1280320882797241
10,98,,,,,,,,,,,,,,,,,,,1.180131196975708
11,107,,,,,,,,,,,,,,,,,,,1.1419280767440796
12,116,,,,,,,,,,,,,,,,,,,1.0634735822677612
13,125,,,,,,,,,,,,,,,,,,,1.120552897453308
14,134,,,,,,,,,,,,,,,,,,,1.0417033433914185
15,143,,,,,,,,,,,,,,,,,,,1.0431725978851318
16,152,,,,,,,,,,,,,,,,,,,1.0349546670913696
17,161,,,,,,,,,,,,,,,,,,,1.0079139471054077
18,170,,,,,,,,,,,,,,,,,,,1.1097885370254517
19,179,,,,,,,,,,,,,,,,,,,1.0605217218399048
20,188,,,,,,,,,,,,,,,,,,,0.9701483249664307
21,197,,,,,,,,,,,,,,,,,,,0.9948198199272156
22,206,,,,,,,,,,,,,,,,,,,1.0093804597854614
23,215,,,,,,,,,,,,,,,,,,,1.0073403120040894
24,216,0.8888888955116272,0.8999999761581421,0.692307710647583,1.0,1.0,0.8999999761581421,0.9411764740943909,0.8181818127632141,1.0,0.7222222089767456,1.0,0.9473684430122375,0.8888888955116272,0.8999999761581421,0.692307710647583,1.0,1.0,0.8999999761581421,
