epoch,step,test_accuracy_class_0,test_accuracy_class_1,test_accuracy_class_2,test_accuracy_class_3,test_accuracy_class_4,test_accuracy_class_5,test_precision_class_0,test_precision_class_1,test_precision_class_2,test_precision_class_3,test_precision_class_4,test_precision_class_5,test_recall_class_0,test_recall_class_1,test_recall_class_2,test_recall_class_3,test_recall_class_4,test_recall_class_5,val_loss
0,4,,,,,,,,,,,,,,,,,,,1.9470027685165405
1,9,,,,,,,,,,,,,,,,,,,1.688016653060913
2,14,,,,,,,,,,,,,,,,,,,1.6570534706115723
3,19,,,,,,,,,,,,,,,,,,,1.509729266166687
4,24,,,,,,,,,,,,,,,,,,,1.4213711023330688
5,29,,,,,,,,,,,,,,,,,,,1.3571107387542725
6,34,,,,,,,,,,,,,,,,,,,1.3406102657318115
7,39,,,,,,,,,,,,,,,,,,,1.2451543807983398
8,44,,,,,,,,,,,,,,,,,,,1.2667781114578247
9,49,,,,,,,,,,,,,,,,,,,1.2749063968658447
10,54,,,,,,,,,,,,,,,,,,,1.1841669082641602
11,59,,,,,,,,,,,,,,,,,,,1.2129632234573364
12,64,,,,,,,,,,,,,,,,,,,1.153967022895813
13,69,,,,,,,,,,,,,,,,,,,1.167464256286621
14,74,,,,,,,,,,,,,,,,,,,1.1685658693313599
15,79,,,,,,,,,,,,,,,,,,,1.1417173147201538
16,84,,,,,,,,,,,,,,,,,,,1.1217349767684937
17,89,,,,,,,,,,,,,,,,,,,1.143280267715454
18,94,,,,,,,,,,,,,,,,,,,1.1882882118225098
19,99,,,,,,,,,,,,,,,,,,,1.1358975172042847
20,100,0.8571428656578064,1.0,0.6666666865348816,1.0,0.0,0.0,1.0,0.8333333134651184,0.6666666865348816,0.800000011920929,0.0,0.0,0.8571428656578064,1.0,0.6666666865348816,1.0,0.0,0.0,
