epoch,step,test_accuracy_class_0,test_accuracy_class_1,test_accuracy_class_2,test_accuracy_class_3,test_accuracy_class_4,test_accuracy_class_5,test_precision_class_0,test_precision_class_1,test_precision_class_2,test_precision_class_3,test_precision_class_4,test_precision_class_5,test_recall_class_0,test_recall_class_1,test_recall_class_2,test_recall_class_3,test_recall_class_4,test_recall_class_5,val_loss
0,3,,,,,,,,,,,,,,,,,,,1.736420750617981
1,7,,,,,,,,,,,,,,,,,,,1.4580416679382324
2,11,,,,,,,,,,,,,,,,,,,1.51166570186615
3,15,,,,,,,,,,,,,,,,,,,1.2742186784744263
4,19,,,,,,,,,,,,,,,,,,,1.0715482234954834
5,23,,,,,,,,,,,,,,,,,,,0.9854602813720703
6,27,,,,,,,,,,,,,,,,,,,0.9475711584091187
7,31,,,,,,,,,,,,,,,,,,,0.8769550323486328
8,35,,,,,,,,,,,,,,,,,,,0.7877444624900818
9,39,,,,,,,,,,,,,,,,,,,0.7569015622138977
10,43,,,,,,,,,,,,,,,,,,,0.7101998329162598
11,47,,,,,,,,,,,,,,,,,,,0.6861749291419983
12,51,,,,,,,,,,,,,,,,,,,0.6547684669494629
13,55,,,,,,,,,,,,,,,,,,,0.6429254412651062
14,59,,,,,,,,,,,,,,,,,,,0.6126642823219299
15,63,,,,,,,,,,,,,,,,,,,0.5638039112091064
16,67,,,,,,,,,,,,,,,,,,,0.5559006929397583
17,71,,,,,,,,,,,,,,,,,,,0.563377857208252
18,75,,,,,,,,,,,,,,,,,,,0.5459632873535156
19,79,,,,,,,,,,,,,,,,,,,0.5051937699317932
20,83,,,,,,,,,,,,,,,,,,,0.47147953510284424
21,87,,,,,,,,,,,,,,,,,,,0.45735564827919006
22,91,,,,,,,,,,,,,,,,,,,0.4868338406085968
23,95,,,,,,,,,,,,,,,,,,,0.5335821509361267
24,99,,,,,,,,,,,,,,,,,,,0.47710099816322327
25,100,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
