epoch,step,test_accuracy_class_0,test_accuracy_class_1,test_accuracy_class_2,test_accuracy_class_3,test_accuracy_class_4,test_accuracy_class_5,test_precision_class_0,test_precision_class_1,test_precision_class_2,test_precision_class_3,test_precision_class_4,test_precision_class_5,test_recall_class_0,test_recall_class_1,test_recall_class_2,test_recall_class_3,test_recall_class_4,test_recall_class_5,val_loss
0,6,,,,,,,,,,,,,,,,,,,1.7458962202072144
1,13,,,,,,,,,,,,,,,,,,,1.7712160348892212
2,20,,,,,,,,,,,,,,,,,,,1.5116431713104248
3,27,,,,,,,,,,,,,,,,,,,1.3762964010238647
4,34,,,,,,,,,,,,,,,,,,,1.3538398742675781
5,41,,,,,,,,,,,,,,,,,,,1.2692111730575562
6,48,,,,,,,,,,,,,,,,,,,1.2509441375732422
7,55,,,,,,,,,,,,,,,,,,,1.2741132974624634
8,62,,,,,,,,,,,,,,,,,,,1.2211085557937622
9,69,,,,,,,,,,,,,,,,,,,1.1895349025726318
10,76,,,,,,,,,,,,,,,,,,,1.1748229265213013
11,83,,,,,,,,,,,,,,,,,,,1.1666594743728638
12,90,,,,,,,,,,,,,,,,,,,1.1270214319229126
13,97,,,,,,,,,,,,,,,,,,,1.11175537109375
14,104,,,,,,,,,,,,,,,,,,,1.1231236457824707
15,111,,,,,,,,,,,,,,,,,,,1.1628679037094116
16,118,,,,,,,,,,,,,,,,,,,1.0825861692428589
17,125,,,,,,,,,,,,,,,,,,,1.06294846534729
18,132,,,,,,,,,,,,,,,,,,,1.113865852355957
19,139,,,,,,,,,,,,,,,,,,,1.0908443927764893
20,146,,,,,,,,,,,,,,,,,,,1.1011935472488403
21,147,1.0,1.0,0.5,0.800000011920929,1.0,0.8333333134651184,0.625,1.0,1.0,0.800000011920929,1.0,1.0,1.0,1.0,0.5,0.800000011920929,1.0,0.8333333134651184,
